	Azeb	Sbro	Tgra
Number of genes	27527	23317	23967
Number of genes in orthogroups	24733	20944	20680
Number of unassigned genes	2794	2373	3287
Percentage of genes in orthogroups	89.8	89.8	86.3
Percentage of unassigned genes	10.2	10.2	13.7
Number of orthogroups containing species	15594	15037	13760
Percentage of orthogroups containing species	86.7	83.6	76.5
Number of species-specific orthogroups	1166	460	605
Number of genes in species-specific orthogroups	4114	1561	2197
Percentage of genes in species-specific orthogroups	14.9	6.7	9.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2395	2952	4229
'1	11180	12232	10294
'2	2718	1695	2369
'3	799	510	513
'4	378	253	216
'5	170	122	105
'6	107	55	62
'7	76	50	43
'8	39	23	34
'9	34	23	31
'10	17	21	19
11-15	45	35	40
16-20	12	9	16
21-50	18	8	18
51-100	1	1	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	13.3	16.4	23.5
'1	62.1	68.0	57.2
'2	15.1	9.4	13.2
'3	4.4	2.8	2.9
'4	2.1	1.4	1.2
'5	0.9	0.7	0.6
'6	0.6	0.3	0.3
'7	0.4	0.3	0.2
'8	0.2	0.1	0.2
'9	0.2	0.1	0.2
'10	0.1	0.1	0.1
11-15	0.3	0.2	0.2
16-20	0.1	0.1	0.1
21-50	0.1	0.0	0.1
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	11180	12232	10294
'2	5436	3390	4738
'3	2397	1530	1539
'4	1512	1012	864
'5	850	610	525
'6	642	330	372
'7	532	350	301
'8	312	184	272
'9	306	207	279
'10	170	210	190
11-15	570	433	492
16-20	210	156	283
21-50	557	230	531
51-100	59	70	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	40.6	52.5	43.0
'2	19.7	14.5	19.8
'3	8.7	6.6	6.4
'4	5.5	4.3	3.6
'5	3.1	2.6	2.2
'6	2.3	1.4	1.6
'7	1.9	1.5	1.3
'8	1.1	0.8	1.1
'9	1.1	0.9	1.2
'10	0.6	0.9	0.8
11-15	2.1	1.9	2.1
16-20	0.8	0.7	1.2
21-50	2.0	1.0	2.2
51-100	0.2	0.3	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
